書名,発売日,著者名,型番,ページ数,定価,ISBN,ページURL
Illustrator＆Photoshop 名刺＆はがき＆小冊子＆ポスターのつくり方講座,2023年9月13日紙版発売2023年9月13日電子版発売,I&D　宮川千春，木俣カイ　著,B5判,240ページ,"定価2,640円（本体2,400円＋税10%）",978-4-297-10561-7,https://gihyo.jp/book/2023/978-4-297-10561-7
数値シミュレーションで読み解く統計のしくみ～Rでためしてわかる心理統計,2023年9月13日紙版発売2023年9月13日電子版発売,小杉考司，紀ノ定保礼，清水裕士　著,A5判,320ページ,"定価3,520円（本体3,200円＋税10%）",978-4-297-13665-9,https://gihyo.jp/book/2023/978-4-297-13665-9
ゼロからはじめるシリーズゼロからはじめるOPPO Reno9 A／7 A スマートガイド,2023年9月9日紙版発売2023年9月9日電子版発売,技術評論社編集部　著,四六判,192ページ,"定価1,738円（本体1,580円＋税10%）",978-4-297-13671-0,https://gihyo.jp/book/2023/978-4-297-13671-0
ゼロからはじめるシリーズゼロからはじめるドコモ Xperia 10 V SO-52D スマートガイド,2023年9月9日紙版発売2023年9月9日電子版発売,技術評論社編集部　著,四六判,192ページ,"定価1,738円（本体1,580円＋税10%）",978-4-297-13695-6,https://gihyo.jp/book/2023/978-4-297-13695-6
今すぐ使えるかんたんシリーズ今すぐ使えるかんたんGoogle 完全ガイドブック 困った解決&便利技［改訂第3版］,2023年9月9日紙版発売2023年9月9日電子版発売,AYURA　著,B5変形判,288ページ,"定価1,958円（本体1,780円＋税10%）",978-4-297-13679-6,https://gihyo.jp/book/2023/978-4-297-13679-6
Unity VFX Graph マスターガイド,2023年9月4日紙版発売2023年9月4日電子版発売,秋山高廣　著,B5判,752ページ,"定価5,280円（本体4,800円＋税10%）",978-4-297-13691-8,https://gihyo.jp/book/2023/978-4-297-13691-8
レシピ集シリーズAccess VBA コードレシピ集,2023年8月28日紙版発売2023年8月28日電子版発売,星野努　著,A5判,704ページ,"定価3,080円（本体2,800円＋税10%）",978-4-297-13663-5,https://gihyo.jp/book/2023/978-4-297-13663-5
運用設計の教科書【改訂新版】～現場でもっと困らないITサービスマネジメントの実践ノウハウ,2023年8月28日紙版発売2023年8月28日電子版発売,近藤誠司　著,A5判,360ページ,"定価3,080円（本体2,800円＋税10%）",978-4-297-13657-4,https://gihyo.jp/book/2023/978-4-297-13657-4
Flask本格入門～やさしくわかるWebアプリ開発～,2023年8月26日紙版発売2023年8月26日電子版発売,株式会社フルネス　樹下雅章,B5判,400ページ,"定価3,520円（本体3,200円＋税10%）",978-4-297-13641-3,https://gihyo.jp/book/2023/978-4-297-13641-3
WEB+DB PRESS plusシリーズスクラムの拡張による組織づくり――複数のスクラムチームをScrum@Scaleで運用する,2023年8月26日紙版発売2023年8月26日電子版発売,粕谷大輔　著,A5判,176ページ,"定価2,860円（本体2,600円＋税10%）",978-4-297-13661-1,https://gihyo.jp/book/2023/978-4-297-13661-1
かんたんIT基礎講座シリーズゼロからわかるネットワーク超入門―基礎知識からTCP/IPまで 改訂第3版,2023年8月26日紙版発売2023年8月26日電子版発売,柴田晃　著,B5変形判,208ページ,"定価2,200円（本体2,000円＋税10%）",978-4-297-13643-7,https://gihyo.jp/book/2023/978-4-297-13643-7
ネットで売れるハンドメイド副業で月10万円稼ぐ本,2023年8月26日紙版発売2023年8月26日電子版発売,山口実加　著,A5判,256ページ,"定価1,980円（本体1,800円＋税10%）",978-4-297-13639-0,https://gihyo.jp/book/2023/978-4-297-13639-0
今すぐ使えるかんたんbizシリーズ今すぐ使えるかんたんbizChatGPT ビジネス活用大全,2023年8月26日紙版発売2023年8月26日電子版発売,リンクアップ　著，STORIA法律事務所　監修,A5判,176ページ,"定価1,408円（本体1,280円＋税10%）",978-4-297-13677-2,https://gihyo.jp/book/2023/978-4-297-13677-2
ポケットリファレンスシリーズ［改訂第3版］Windowsコマンドプロンプトポケットリファレンス［上］,2023年8月26日紙版発売2023年8月26日電子版発売,山近慶一　著,四六判,456ページ,"定価3,520円（本体3,200円＋税10%）",978-4-297-13723-6,https://gihyo.jp/book/2023/978-4-297-13723-6
