書名,著者名,定価,詳細ページURL
"情報処理技術者試験シリーズ
［改訂新版］要点早わかり 情報セキュリティマネジメント ポケット攻略本",岡嶋裕史　著,"定価1,650円（本体1,500円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13699-4
Nuxt 3 フロントエンド開発の教科書,WINGSプロジェクト　齊藤新三　著，山田祥寛　監修,"定価3,520円（本体3,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13685-7
スクラッチ プログラミング ゲーム大全集,松下孝太郎，山本光　著,"定価3,080円（本体2,800円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13683-3
フリーランス＆個人事業主 確定申告でお金を残す！ 元国税調査官のウラ技 第10版,大村大次郎　著,"定価1,760円（本体1,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13717-5
フリーランス＆個人事業主のための確定申告 改訂第18版,山本宏　監修,"定価1,760円（本体1,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13715-1
"情報処理技術者試験シリーズ
令和06年 ネットワークスペシャリスト 合格教本",岡嶋裕史　著,"定価3,278円（本体2,980円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13703-8
Q&Aでわかる 医薬品・美容・健康商品の「正しい」広告・EC販売表示,弁護士法人GVA法律事務所 弁護士　早崎智久，五反田美彩　編著,"定価2,640円（本体2,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13651-2
今日からはじめる　CLIP STUDIO PAINT　イラスト入門［PRO/EX/iPad対応版］,葉丸　著,"定価2,200円（本体2,000円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13659-8
分水嶺の謎 峠は海から生まれた,高橋雅紀　著,"定価3,520円（本体3,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13697-0
Software Design 2023年10月号,,"定価1,562円（本体1,420円＋税10%）",https://gihyo.jp/magazine/SD/archive/2023/202310
"2024年 手帳シリーズ
ムーン・ダイアリー'24",松村潔　著,定価990円（本体900円＋税10%）,https://gihyo.jp/book/2023/978-4-297-13656-7
"2024年 手帳シリーズ
天体観測手帳2024",早水勉　著,"定価1,430円（本体1,300円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13655-0
Illustrator＆Photoshop 名刺＆はがき＆小冊子＆ポスターのつくり方講座,I&D　宮川千春，木俣カイ　著,"定価2,640円（本体2,400円＋税10%）",https://gihyo.jp/book/2023/978-4-297-10561-7
数値シミュレーションで読み解く統計のしくみ～Rでためしてわかる心理統計,小杉考司，紀ノ定保礼，清水裕士　著,"定価3,520円（本体3,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13665-9
"ゼロからはじめるシリーズ
ゼロからはじめるOPPO Reno9 A／7 A スマートガイド",技術評論社編集部　著,"定価1,738円（本体1,580円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13671-0
"ゼロからはじめるシリーズ
ゼロからはじめるドコモ Xperia 10 V SO-52D スマートガイド",技術評論社編集部　著,"定価1,738円（本体1,580円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13695-6
"今すぐ使えるかんたんシリーズ
今すぐ使えるかんたんGoogle 完全ガイドブック 困った解決&便利技［改訂第3版］",AYURA　著,"定価1,958円（本体1,780円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13679-6
Unity VFX Graph マスターガイド,秋山高廣　著,"定価5,280円（本体4,800円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13691-8
"レシピ集シリーズ
Access VBA コードレシピ集",星野努　著,"定価3,080円（本体2,800円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13663-5
運用設計の教科書【改訂新版】～現場でもっと困らないITサービスマネジメントの実践ノウハウ,近藤誠司　著,"定価3,080円（本体2,800円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13657-4
Flask本格入門～やさしくわかるWebアプリ開発～,株式会社フルネス　樹下雅章,"定価3,520円（本体3,200円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13641-3
"WEB+DB PRESS plusシリーズ
スクラムの拡張による組織づくり――複数のスクラムチームをScrum@Scaleで運用する",粕谷大輔　著,"定価2,860円（本体2,600円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13661-1
"かんたんIT基礎講座シリーズ
ゼロからわかるネットワーク超入門―基礎知識からTCP/IPまで 改訂第3版",柴田晃　著,"定価2,200円（本体2,000円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13643-7
ネットで売れるハンドメイド副業で月10万円稼ぐ本,山口実加　著,"定価1,980円（本体1,800円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13639-0
"今すぐ使えるかんたんbizシリーズ
今すぐ使えるかんたんbizChatGPT ビジネス活用大全",リンクアップ　著，STORIA法律事務所　監修,"定価1,408円（本体1,280円＋税10%）",https://gihyo.jp/book/2023/978-4-297-13677-2
